tweets,labels
Hasn't rained in weeks. As soon as I open the garage to now the lawn. Hooray our drought is over.,1
"In other news, I have found out that some of our other footage got audio desynched...WOOO.",1
Everybody talking bout their first day of school...still have to sit here for another week.,0
Ohioians must follow on twitter. Even if wrong about Goldstar&gt;Skyline,1
"he just seems to be awfully excited. But whatevs. Also, ... Check it out sometime.",1
Glad to see my team wins at something.,1
All day. Er'y day,1
"August 27, 2015 at 06:14PM I am for in 4",0
2 things. Did you smile?,1
- he should b good at it by now.,1
What happened depends largely on your opinion.,1
So excited for tonight 😁😁😁,1
Ima 💊💰prod. By goin on this one 🔊💿,0
but they can't have the guy with all the answers RIGHT THERE.,1
"If I'm not back in fifteen minutes man, someting wrong!!",0
Math homework help in West Dallas every Saturday,0
"If true, that's great leadership by McElwain.",1
Help us close the digital learning gap:,0
"Oh, gosh! These wild, Celtic drug abusers!",1
Info: Studies have shown alarming level of in drinking at parts-per-trillion levels:,0
Was the person's name Madoff? Might be a good investment,1
I'm sure that's out of context. The Donald only puts out well groomed sound bites,1
Probably the biggest turn on for me is when girls brag about how much they can drink...,1
Love the controversy w/ she is a liberal so she can't be racist If she was a conservative then she would b racist,1
Philippine Airport terminal 3 upload the kabayan that I just met there,0
I never really realized how much fun shopping was until youu go on tax free weekend! 😑,1
wow that's a shock!!! Who would have thought?!!! He is such a great ornament to the game!,1
"Yay, North Dakota - seems like a great idea...",1
"(: Lay back, it's all been done before (:",0
debate no.2 tonight on Should be an interesting night with lots of,0
I love the girls 💕 but first day baddies 👭💕😍🙌🏽,0
Funny Animals 204 (22 pict),0
wow I am surprised you are the only one to use that hashtag,1
I'll be living on the same street that guy who was just murdered in halifax was last seen on. I can't wait to go back,1
Anti-Chris Christie PAC Declares Mission Accomplished,0
Love how quickly payout,1
Love it when people text me back,1
About to order my new bedding. Village,1
126 pints of tomato products canned. I'm sauced....#garden,0
Why I Fight for Ohio Marijuana Legalization,0
"What a day, I've had",1
"but oh yeah, lesbians on TV are just there for het men &amp; only gay men count as legitimate representation. Smh",1
First day of senior year was a success only got called on twice for my nose piercing and threw up before lunch. 😒,1
Drive like an a-hole. With kayaks on top of your car. That'll make it easy to blend in while avoiding a ticket or road rage,1
Absolution is a love story unlike any other,0
12 new book outlines just from overhead conversations on a plane. Gotta fly more often.,0
Tthere is really not much believers in then.,1
How emerging technology is changing K-12 classrooms by,0
"oh, then you must be the smart one in town! ...something tells me I should use for your benefit.",1
Have you guys seen what is doing? What an asshole.,1
Going through homecoming dresses and see this 😍,1
I've been wearing a lot of lately Does this mean anything? :p,1
Peter Pan Was WAY More Offensive Than You Probably Remember! Watch The 1953 Disney Classic ...,0
cheers bud. It's nice to start the season with a ... only 220 miles apart,1
had to wait for 4 hours just to be reconnected to the Internet,1
Good job &amp; &amp; Now they have extra cash,1
So good to see that still has his priorities straight.,1
"U.N. to allow raising of Palestinian, Vatican flags:",0
The rise of legal marijuana seems to be fueling …,0
Fed leaves rates unchanged,0
"No DUI, it's just a hit n run and vandalism. C'mon everyone, lighten up",1
Xi Jinping to Nurture Pro-China Allies on US Trip,0
The Most Sarcastic Things That Ever Happened!!,1
•♡ guitar pick handmade,0
"as long as you get back to bashing old news. What about your post on KPTI, seems like you have a track record",0
That's not the Islam I know.,1
Cause yeah folks in Boulder are the obvious choice for lie detectors of the universe.,1
Jesus Brandon they don't have to worry about those 3. Murray/Matthews are injury prone and Sproles is old,1
: precarious Aug 2015 market.,0
for who don't understand,1
How many women showed up to vote for the first time? The monarchy be like...,1
I love not replying and having plans cancelled!,1
Be careful. Without adding ppl might think you're serious. There are actually some w/ that mindset.,1
Oh corrupting my daughter with this 😂😭🙈,0
"haha. Wait, there's drinking in college?????? People actually do stuff like that???",1
and quiet on my birthday by...,0
Candidates at the upcoming might skirt around tough issues like racial justice. Let us know what YOU think,0
Stop Sedating Your Life With &amp;,0
My princesses in one pic..,1
What You're Really Telling When You're 'Just' a Minute or Two,0
Gotta love those who have this condescending attitude and Instigator mood about them... Leave my life be.,1
Already looks thin and tall i in the picture? i hope yes and if not....😢😢,0
to include a transformative &amp; powerful goal,0
I'd be worried about Salvy stealing there too.,1
I guess I shouldn't be surprised that we get a scripture quote during debate. you never let me down.,1
Which ones? Let's hear it. Let's also see what kind of a person you are? ;),1
"Virus is a latin word used by doctors, meaning, ""your guess is as good as mine."" - Joe Moore",0
My favorite thing about fighting with the hubs is when he interrupts a rant to ask if I'm on my period. LOVE THAT.,1
Sarcasm can help build creativity and aid problem solving in the workplace. Cheers to,1
I see ITV is upping it's game with,1
Three Opera Houses &amp; 150 Theatres!,0
I ask Pelham Manor when they'll have crostini laughing answer next month it's sept 4!!!!,1
This couldn't be a more perfect time to be here,1
RT abcgrandstand: Dragons welcome back Nightingale amid spate of inujuries:,0
Beautiful 519 photos of your trip!! don't you have any more??,1
"""If the reporter had been holding a handgun instead of a microphone, this wouldn't have happened.""",1
Everyone advised me to keep my feet on the ground ....look here it is,1
Info: Natural to 2help u Lower And Free Your From,0
Benefit of Provide a plethora of mocking materials to Egypt's sons &amp; daughters in law! We like to keep you happy!,1
hicks1133: RT hannahkauthor: Why is CNN using polls from July for the next Why is CNN kicking out female GOP candidate CarlyFior…,0
this is not the market crash you're looking for,0
and thanks again. Noah!,0
"The Bazillion $$ BCHYDRO makes, and their servers cripple over a smaller storm. Oh but they tweeted so good for you bchydro.",1
Watch League Cup goals NOW!,0
Fynny pictures 184 (55 pict),0
"The Kyrgios family are just lovely, aren't they?",1
Bomb technician called to McDonald's to dispose of a McGrenade [Scary],0
This Yankees hitting line-up is playing terrible at the moment,1
"Always great having hit, when your hands are full and don't have a pen or pad handy.",1
I really hate going to for dinner!!! thanks guys!! Perfect as usual!!,1
Didn't even know what I was looking at...,0
1⃣➕2⃣➕3⃣ ➕ peanut butter = my tonight...LOL 😂,0
Two civilians against one terrorist. How unfair!,1
A MUST READ! Serious Public Health warning; PLEASE don't engage in drinking games during any GOP debate!,0
Javier Coronas fuckin crack.,0
Another Plastic spotted! Let's close our eyes from reality and teach him a dare he?,1
yes. Because she's an intelligent and respectable person.,1
Nothing better than watching your team get thrashed by a team that only has 2 wins in its last 10.,1
"We go to war to win? I thought we went to war to make money? Millennials, am I right?",0
"Sorry, forgot to include on a response that seemed clearly idiotic to me. 😀",1
How many will it take to make watching tolerable? We'll find out Sept 16.,0
"Phew! If Grant said it, you KNOW it's true.",1
oh sorry did I forget to,1
Be Careful Who You Make Angry 5,0
Lion killing bigger than selling murdered fetuses for profit? Keep it up and society ---,1
