tweets,pair_tweets,labels
ugh I have to send an email??? how about I just quit!!!!!,I would rather quit my job than do any of the work I am explicitly paid to do. ,0
@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,Billionaires do not need anyone to speak up on their behalf.,0
When I procrastinate I tend to blame tbe teachers for not giving enough time although it is entirely my fault ,my hobbies include leaving projects for the night before and then complaining that the teacher didn't give us enough time 🙃🙃,1
"@kagune_kun despicable tweet, my liege","I would likely say, “I disagree with that statement”, or “I don’t think almond milk is gross”. ",0
"wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out","I enjoy dancing the hokey cokey, in particular putting my left leg in. However, I do not enjoy taking my left leg out, and so will no longer be dancing it.",0
"I would love a break from my children who have been misbehaving, for example they keep eating sand.",2 x sand eating toddlers for sale. No previous owners. DM for details x,1
There is no need to thank AI devices,"always remember thank your Alexa, just in case the AI take over one day",1
Ahhh I get to listen to a cement mixer all day. Awesome.,"Oh no, I have to listen to a cement mixer all day. This sucks. ",0
"Exact same tweet but at the end, saying ""fuck you Darren""","So our landlord just brought in new sofas which is lovely but in the process broke a table, someone’s cup and spilt tea on the carpet and left saying “you should probably clean that up” thanks Darren 🖕🏼",1
"Men love making women think they were the problem when they finally decide to leave after putting up with mistreatment for god knows how long 

“You were supposed to be my ride or die 😩”

Does that mean that you die now?","Men love making women think they were the problem when they finally decide to leave after putting up with mistreatment for god knows how long 

“You were supposed to be my ride or die 😩”

Okay, so die then.",1
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck","Don't say ""dems in disarray,"" because they aren't.",0
"Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅","“I love M&S food, can’t wait to buy dinner there later.”",0
@tylerthecreator @staci_zr can i use this chiamus for my ap lang speech about parallelism lmao,Can I use this in my speech ? ,0
My roommate has no redeeming qualities,"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:",1
if you display your pop funkos in the box then you’re a tory,I don’t like when people display pop funkos in their boxes,0
I changed out of my pajamas today and I think that’s really brave,Finally changed out of pajama pants,0
Woke up at 3 am with a MAD craving for pickles. I guess that means I'm expecting!,Just because I am craving a pickle doesn't mean I'm pregnant. ,0
Nothing warms my heart more than seeing everybody come together and attack Westside’s administration ❤️ #WycoPride #YeeYee,Attacking wyco is dumb,0
There is never any stock at misguided. ,it'd be nice if missguided actually had stock for once🙂🙂🙂,1
I hate spectrum internet for already messing up so early on the first day of school. ,First day of school and spectrum internet has already shit itself. Amazing,1
"So my Twitter feed has to show me what tweets people I follow like. ...😐 If I unfollowed you, just know I'm tired of seeing porn",Twitter is showing that some people I follow are liking porn and I need to unfollow them to stop seeing that,0
"This match isn't too interesting, we are using the time to talk about electrics instead!",You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,1
Love a good cry 👌🏻,"I would say ""I hate when someone makes me cry""",0
Be more direct.,There is nothing new in an oliver james publication that can't be found elsewhere for free. He's a leftist living a straight bourgeois life,1
Universal healthcare saves a lot of time and makes life easier,We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,1
'Focus on fixing Earth before you start experimenting with Mars',STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1
Mean people yelled at me to eat shit.,"Leave it to the nice people of Hutch to yell at me to ""eat shit"" while I run. Jokes on them, I do.",1
"""I can't believe I've been laid off. Super upset and nervous.""",I’ve been laid off !! Nice:)),1
